제목,답변
14 살 중학교 자퇴,         직접말하는게 어려우면 글로서보세요 저도 직접말할때는 내가 하고싶은말 잘못하는 편이라 하고싶은말있으면 편지써요 그리고 주변사람이 다 등돌려도 욕해도 스스로를 사랑해주세요 나 아니면 누가 나 사랑해주겠어요 그쵸?     
제주도 애견동반숙소 알려주세요ㅜ,         넓은 잔디밭이 있는 여기 어떠세요!서귀포에 있는데 넓고 좋아보여서요 ^^즐거운 여행되세용              쿠팡! | 상추네펜션 애견동반이 가능합니다 coupa.ng            *쿠팡 파트너스 활동의 일원으로 별도의 수수료를 받을 수 있습니다.     
제주도 애견동반 여행 추천,"         제주도 애견동반 여행 코스 정보 알아보시나봐요~ㅎㅎ제가 애견동반 여행 정보 얻을때 참고하는 네이버 카페인데 참고해보세요^^애견 동반 여행지 잘 정리 되어 있어요.회원님들이 직접 다녀오시고 작성한 찐후기들 많아서 좋습니다.​https://cafe.naver.com/dhkdrlt              강아지와여행하는사람-애견동반카페식당반... : 네이버 카페 강아지,반려견,애견동반,카페,펜션,식당,놀이터,호텔,여행,글램핑,캠핑장,풀빌라,운동장,옷,대형견,소형견 cafe.naver.com            ​     "
애견펜션 휠체어 여행지 추천좀!!,         안녕하세요. 천만 반려인과 함께하는 애견 동반 여행 플랫폼 하트독 입니다.​강원도에 위치한 애견동반 펜션 몇 곳을 추천해 드립니다.​1. 꼬로몽 애견펜션(양앙)2. 아띠랑스 스파펜션(강릉)3. 파인힐애견펜션(강릉)4. 바다빛무지개(양양)5. 아지트애견펜션(홍천)6. 양양빈티지하우스(양양)7. 하모니펜션(속초)8. 꼬로몽(양양)9. 오마주(고성)10. 해피플레이스(양양)11. 하조대아름들(양양)12. 멍스테이(고성)​​반려견과 함께 즐거운 여행 되세요.​답변이 도움이 되셨다면 채택도 부탁드립니다.​                    ​     
제주 반려견 동반 펜션 & 수영장,"         알려드려요대형견은 사실 팬션풀빌라도 출입제한되는곳이 많더라구요하지만 입실만안되지 같이 허용되는 곳도 찾아보니 있네요키로수에 따라 추가비용이 있지만 대형견이라면 입실안되도 시설에서 재우고 하는것도 될거같아괜찮아보입니다.. 너무 어렵긴하네요 대형견은 ㅠㅠ​​              쿠팡! | 바산올레 애견동반펜션 바산올레 펜션에서는 니나수 옹기 족욕 카페에서 제주도의 아름다운 전망을 감상하시며 족욕과 전신욕을 즐기실 수 있습니다. 또한 저희 펜션은 올레길 8코스 종점과 올레 9코스의 시작점에 위치하고 있고 제주의 중심지 중문관광단지와 화순해수욕장 중간에 위치하고 있어 제주 여행의 최고의 절경을 즐길 수 있는 곳입니다. * 애견동반 가능 ! coupa.ng            ​​​​​​​​​​​​​​​​​​​​""이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.""      "
내일 강아지랑 놀러가는데제주도에 강아지랑 놀러 갈 수 있는데가 어디있나요?꼭 강아지랑 동반할 수있는데요 제발 내일까지 답변 부탁드려요,"안녕하세여^-^ 제주도민 제주길잡이 입니다. 강아지와 제주도여행을 계획중이시군요?애견과 함께 가시는거면 목줄은 필히 챙기고 가셔야 할것 같아요애견과 함께 가보심 좋은곳과 카페 맛집도 추천드릴게요[제주 애견동반 여행]월정리해변, 노리매, 카멜리아힐, 더리트리브카페, 섭지코지, 1100도로, 제주레일바이크, 오데뜨 레스토랑, 애월더선셋,마노르블랑카페 등 추천드립니다.제 답변이 조금이나마 도움이 되었다면 채택 부탁할게요~"
8월 말 제주도에 반려견 동반하여 가족여행 갈 예정입니다. 여러가지 신경 쓸 일이 많아 문의해요.1.애견동반할 수 있는 렌트카 회사를 알려주세요. 탐라와 스타는 알고있는데 그외에도 있나요? 또 가능할경우 강아지는 케이지에만 있어야하는지 자유롭게 태울수있는 방법이있는지 궁금합니다. 차는 9인승 카니발 소망합니다.2. 반려견과 함께할 수 있는 추천 활동이나 여행지가 있다면 알려주세요 3. 반려견 입장가능한 식당과 카페 추천해주세요! 할머니도 함께 가는 여행인지라 다양하게 알려주시면 감사하겠습니다.4. 제주도 갈때 비행기를 이용하게되었는데 저희강아지는 몸무게가 6키로가 조금넘어서 수화물칸으로 가게될것같아요ㅜ 경험있으신분 신경써야 할 부분 조언부탁드립니다ㅜ,"        안녕하세요. 반려견에 대한 궁금증을 해결해주는 ""하트독"" 입니다.​1. 롯데렌트카도 애견동반이 가능합니다.​2. 제주에서만 가능한 것들로 추천해 드릴게요.1. 에코랜드2. 소인국테마파크3. 만장굴4. 미로공원5. 서귀포잠수함6. 천지연폭포7. 여미지식물원8. 카메리아힐9. 오솔록티뮤지엄​​답변이 도움이 되셨다면 채택도 부탁드립니다.    "
고3되는데요 애견미용학원,"안녕하세요.애견미용자격증은 반려견 스타일리스트로,취업을 목적으로 하신다면 2급, 1급을 따셔야 됩니다.애완동물 관련 학과가 있는 학교 안내해드립니다.우송정보대학교, 상지영서대학교, 천안연암대학교상지영서대학교, 대경대학교, 신구대학교서정대학교, 혜천대학교, 대구산업정보대학교제주산업정보대학교, 혜전대학교, 동아인재대학교신구대학교, 동아인재대학교 그리고 좋은 직업전문학교도 참조해 드려요.서울예술실용전문학교http://www.sart.ac.kr/호서직업전문학교http://www.shoseo.ac.kr/ 서울예술종합실용학교http://www.sac.ac.kr애견미용자격증 관련 정보도 검색하시고,반려견 스타일리스트 카페에 오셔서 문의 주세요.웹사이트: http://www.kkc.or.kr카페: http://cafe.naver.com/iamgroomer도움이 되셨다면 채택과 내공으로 즐거운 진로 설정 하시기 바랍니다.감사합니다. "
애견훈련사 되는법,"         1.반려동물 훈련 관련 직업 무엇이 있나요?(간단한 설명도 해주세요)-?반려동물 훈련쪽은 반려동물 훈련사가 가장 대표적이구요브리더라던지 도그워커 방문훈련사 활동등이 훈련관련 직업이라고 보시면 될 거 같은데그냥 훈련사가 가장 일반적이에요​2.지금 제주 인문계 다니고 있으며 졸업하고 전문학교 진학할지 훈련소를 갈지 이것저것 고민인데 어떤 루트가 좋은지 알려주세요ㅠ(자격증도 필요하겠죠?)->전문학교 진학은 비추입니다전문학교는 어떤 학위가 나오는 것이 아니기 때문에 학교 진학을 염두해 두고 있으시다면 전문대진학을 하시는 걸 추천드려요요즘은 반려동물 관련학과로 신설되고 있는 4년제 대학교도 늘어나고 있으니 4년제를 생각하시는 게 가장 좋지만 질문자님의 선택이 가장 중요한 거니 부모님하고 그리고 선생님하고 잘 상의해보시고 결정하시기 바랍니다​자격증도 없는 것 보다는 있는 게 좋습니다가장 이상적인건 관련학과 졸업, 자격증 보유 이게 가장 좋긴해요​3.요즘 긍정훈련이라는 것을 알게되었는데 자격증이나 훈련소의 대부분이 긍정훈련으로 이루어지지 않는듯하여 어떻게해야될지 모르겠어요-> 요즘은 대부분 긍정훈련으로 바뀌고 있어요자격증도 대부분 클리커 트레이닝과 보상훈련을 통한 긍정강화 쪽으로 많이 진행중이라고 보시면 될 거 같아요부정소거와 긍정강화를 동시에 이용하면 강아지들이 엄청난 혼란을 겪기 때문에 요즘은 긍정강화 하나만 이용하고 있다고 보시면됩니다​부정소거를 사용하던 건 정말 옛날 시대 이야기입니다요즘은 그러면 바로 신고당하고 영업정지입니다​아무쪼록 도움이 되는 글이었음 싶구요수의테크니션도 질문 중간에 보여서 답변을 조금 드리자면수의테크니션 자격증은 국회에서 툭하면 논의중이라 아직 정답이 없습니다​애견훈련사 자격증 관련해서 아래 글 참고해보심 아마 조금 정리되지 않을까 싶어관련 글 공유해드립니다              반려동물행동교정사자격증 애견훈련사자격증 공부할때 주의점은? 진짜 반려동물 행동교정사 자격증 이 자격증에 대해 여러 이상한 글들을 봤어요 자기네 교육기관이 아닌데 그냥 사진 갖다 쓰고 100퍼센트 취업이니 돈을 잘번다느니 그냥 허황된 얘기만 많아서 제가 몇가지 내용.. da-jum.tistory.com            ​     "
"제주도 항공권 구매,여권 등","         여권 보다 학생증 있으면 됩니다!청소년 신분으로 항공권 구매 가능해요!제주도에는 맛집이랑 가볼만한곳 정말 많아요.맛집 가볼만한곳 순위로 보여주는곳이 있어서 추천드립니다.후기도 좋고, 괜찮은집 많으니 참고해보시면 도움이 되실거에요.즐거운 여행 되시고 맛있는 식사하시기 바랍니다.​​http://soonwidot.co.kr/rank/search.php?stx=%EC%A0%9C%EC%A3%BC+%EB%A7%9B%EC%A7%91           제주 맛집 - 인기순위 순위닷 맛집순위, 여행순위, 교육순위, 보험순위, 신용카드순위, 자동차순위, 대출 순위 등 다양한 순위 정보 제공 사이트 soonwidot.co.kr            http://soonwidot.co.kr/rank/search.php?stx=%EC%A0%9C%EC%A3%BC+%EA%B0%80%EB%B3%BC%EB%A7%8C%ED%95%9C%EA%B3%B3           제주 가볼만한곳 - 인기순위 순위닷 맛집순위, 여행순위, 교육순위, 보험순위, 신용카드순위, 자동차순위, 대출 순위 등 다양한 순위 정보 제공 사이트 soonwidot.co.kr            ​     "
제주 남원읍 맞집 알려주세요내공 30,         애견동반 가능한 남원읍 식당 카페 알려드릴게요~남원읍에도 갈만한 곳이 많답니다. 숨은 카페들도 많구요.그중에서도 여기라면 #서귀포해물라면 안가면 후회하는 라면집!! ^^ 추천드릴려구요 바다보면러 먹을수있어요. 인생샷 가능             여기라면 제주특별자치도 서귀포시 남원읍 태신해안로 129       
제주도1박2일 뚜벅이여행 질문입니다.,"택시가 많이 있긴하지만 .. 제주시, 서귀포시 외 좀 알려진 지역말고는 거의 택시가 없죠. 돌아다녀보시면차도 많이 안다녀요 ㅎㅎ 외곽도로엔그냥 촌이라고 생각하시면 되요.. 콜택시 불러야될 정도 ...그래서 관광객투어용 택시 영업하시는 분들이 많죠.1박 2일로 하시면 솔직히 버스타고 다니면 볼것도 많이 못봐요. 택시타고 원하는곳 몇곳 가시는게 좋을듯.그냥 낭만 머 로망 그런거 찾는다고 버스타고 다니라고 하는데저도 제주도 친구랑 한번 가고 혼여 갔었는데 면허가 없었나?? 아가씨 두분이서 버스타고 여행다니신다고..게하에서 만난 분들인데 ... 시간이 남아돌면 버스 타고 좀 걷고 하지만 버스 배차간격도 넓구요 .힘듭니다.콜택시나 택시투어쪽으로 알아보세요. 택시회사에 물어보면 그런거 하시는 분들 있을꺼에요.대절 개념으로 얼마 주면 될껍니다. 1박2일이니 제주에서 성산쪽가셨다가 게하에서 자고 오시는게젤 좋을듯."
제주도 애견동반 여행 숙소 문의드립니다.,"         제주도 애견펜션 인기순으로 정리해둔 사이트가 있어 도움 되실 것 같아 공유해드립니다.직접 예약하는 사이트는 아니고 순위, 가격 비교 가능한 사이트예요.예약하실 때 참고해보세요! 제 답변이 조금이나마 도움이 됐으면 좋겠네요 :)​http://www.cjgmarket.co.kr/shop/search.php?sfl=wr_subject%7C%7Cwr_content&sop=and&q=%EC%A0%9C%EC%A3%BC%EB%8F%84+%EC%95%A0%EA%B2%AC%ED%8E%9C%EC%85%98&ritem=22303           제주도 애견펜션 - 제주도 애견펜션 | 최저가마켓 제주도 애견펜션 | 최저가마켓 www.cjgmarket.co.kr            ​     "
"제주도 성수기,비수기",제주도는 예전과는 다르게성수기 비수기의미가많이 없습니다대신 지금 말씀해주신 날들이 평일이라상대적으로 둘 중 고르라면 비수기에 속합니다주말 제외니 어디가셔도 게스트하우스 방도 많고 유명식당도 덜 붐빌거에요~잘 다녀오세요^^
제주도 신분 확인,"네 이런 경우 확실히 하기 위해서는 거주지 주민센터에 반명함판 사진 1매씩 가지고 가셔서 청소년증을 발급하시면 되십니다. 바로 안되시지만 즉시 현장에서 임시 청소년증 발급받아 그것을 사용하면 되시고요 아래는 관련 내용입니다. 전국공항 출발승객 기준으로 신분증 미소지 국내선 탑승 승객은 하루 평균 약 660명으로 평균 이용객(8만 5천명)의 0.8% 정도이다.한편 국토교통부는 이용객의 편의를 위해 신분증 범위를 대폭 확대(사진이 부착된 국가기술자격증 등)하였으며, 초등학생 이하의 경우 보호자의 확인 등을 통해서도 탑승이 가능하도록 했다.부득이 신분증을 미소한 승객은 공항인근 주민자치센터 등에서 임시신분증(주민등록증 발급 신청 확인서)을 발급받을 수 있다."
강아지 여행으로 제주도 가려고 해요,"둘 다 이동장에 넣어가야하는데, 어차피 스트레스 받을거면 짧은.비행이가 낫죠."
10월말 2박3일 제주도여행,         제주도 성산 봄그리고가을 호텔 추천드립니다.가격대비 숙소 깔끔하고 뷰도 정말 좋습니다.​주변도 성산일출봉 근처라 많이들 찾는 것 같아요.한번 링크 보시고 리뷰 읽어보시면 도움이 되실거에요.​https://trip.coupang.com/tp/products/100000001627              성산 봄그리고가을 호텔&리조트  bitl.kr                                             ​     
"갑자기 해외여행을 가게됬는데 영종도에 애견호텔 믿고 맡겨도되나요??ㅠㅠ(인천공항,애견호텔)저희 강아지를 애견샵에 맡기는건 처음이라서요..급하게 항공권을 예약하다 보니 새벽비행기로 잡아버렸네요..영종도에 여러개 있던데 믿고 맡길만한 애견호텔 추천 추천좀 해주세요.ㅜ",영종도에 펫시터와 애견카페를 합친 300평규모 놀개나개라는 애견호텔이 있어요...!보통 펫시팅은 산책이 어려웠는데 그 점을 보완해서 주택개조를 하셨다고 하시더라구요..!제주항공이랑 제휴도 맺었고.. 가족운영이라 믿을만하고.. 케이지 없이 가족들이랑 그냥 같이 집에서 자니 안심되여..특히 여기는 가족분들이 살고 계시면서 24시간!! 운영하고 있어서 새벽시간에도 맡길수 있고 늦은시간에도 찾으러 올 수 있는 장점이 있어요!!!(이게 대박임 ㅋㅋ)어디 놀러 갈 때 뱅기시간에도 딱이고 저희 미미 사진도 하루에 100장씩은 보내주시더라구요 ㅠㅠ 다른 곳은 왜 이렇게 안 해주나 모르겠어요 ㅠㅠ뉴스에도 많이 나와서 사람이 많으니 꼭 전화해보고 가세용저는 무조건 여기에만 맡겨서 말이 길어졌네요ㅋㅋㅋ정말정말 강추합니다ㅋㅋㅋ!!놀개나개 사진들은.. 네이버에 검색하시면 나와용..
제주도에 좀괜찮은 호텔로 애견동반있을까요?,"         제주호텔 인기순으로 정리해둔 사이트가 있어 도움되실 것 같아 공유해드립니다.직접 판매하는 사이트는 아니고 순위, 가격 비교 가능한 사이트예요구매하실 때 참고해보세요! 제 답변이 조금이나마 도움이 됐으면 좋겠네요 :)​http://www.cjgmarket.co.kr/shop/search.php?sfl=wr_subject%7C%7Cwr_content&sop=and&q=%EC%A0%9C%EC%A3%BC%ED%98%B8%ED%85%94&ritem=1031           제주호텔 - 제주호텔 | 최저가마켓 제주호텔 | 최저가마켓 www.cjgmarket.co.kr            ​     "
제주도 반려동물 실내 동반 식당이나 카페 문의드려요,"         제주도에 있는 애견카페를 방문하시려고 알아보고 계시는군요~ 정말 다양하게 많이 있어서 잘 알아보시고방문하시는게 좋으실 듯 한데요! 별돈별 추천드리구요. 추천드리면서, 알아보시는데 도움되시라고제주도에 있는 애견카페들을 한군데에 모아놔서 인기순위로 보여주는 곳이 있는데 여기한번 참고해보시라고후기 좋은 순으로 보여주는 인기순위 사이트 추천드려볼게요. 도움되셨길 바랍니다^^​^http://soonwidot.co.kr/rank/search.php?stx=%EC%A0%9C%EC%A3%BC+%EC%95%A0%EA%B2%AC%EC%B9%B4%ED%8E%98           제주 애견카페 - 인기순위 순위닷 맛집순위, 여행순위, 교육순위, 보험순위, 신용카드순위, 자동차순위, 대출 순위 등 다양한 순위 정보 제공 사이트 soonwidot.co.kr            ​     "
강아지옷,강아지옷은요 5000원부터 한 4만원정도까지 있어요 근대 특별한 생일이라면요 좀 화려한 옷이 좋지 않을까요? 턱시도나 그런거요... 강아지옷만 전문적으로 파는곳이 있더라구요 다른곳은 사료랑 물품이랑 같이 팔아서 옷 종류가 별로 없는데 동영상도 있고 사진도 많아서 망설이지 않고 저도 두번째 구매하고 있답니다. 빨리 배송해줘서 그것도 맘에 들었구요....도움이 되셨음 좋겠습니다. 아차! 사이트 주소를 안알려드렸당....www.dressypet.com이라구요 드레시펫 이란곳이예요.  
강아지비행기탑승, 애완동물의 기내탑승이나 수화물 운송에 관해서는 항공사마다 약간씩 규정이 다르기 때문에항공사에 직접 확인하시고 티켓팅을 하시는 것이 좋습니다그리고 기내건 화물칸 운송이건 전용 케이지는 필수조건입니다화물컨에 공기가 없다는 건 금시초문입니다아주 높은 고도를 날다보면 실내온도가 영하로 떨어져서 위험할 수도 있지만미리 승락을 받고 운송한다면 항공사에서 화물칸의 실내온도를 조절해 주므로 걱정하지 않아도 됩니다 모바일티켓팅을 했다고 하여도항공사에 미리 알려주셔야만 합니다간혹 탑승을 거부할 수도 있거든요...서두르세요...따로 서류가 필요하지 않는다고 알고 있습니다(국내운송이라서)
애완견 비행기 수하물에 실어도 괜찮나요?,"제가 예전에 어떤 동물 보호 단체에서 올린 글을 읽었었는데 수하물 칸에 실려가는게 개한테 생각 이상으로 좋지 않다고 하네요. 멀미나 귀가 멍멍한게 문제가 아니라, 이착륙시 급격한 온도변화 등등이 강아지들의 건강에 매우 안좋다고 합니다. 중국은 역시나 이상한 나라군요. 미국은 10 파운드까지였나..는 기내에 태울 수 있거든요.  대한 항공 홈페이지인데 이 홈페이지도 들어가보세요 ,,http://www.koreanair.com/local/na/gd/kor/aa/bt/bg_02_01.jsp"
제주도 3박4일 반려동물 동반 여행코스,         ​일정 코스는 숙소 위치에 따라서 달라 집니다.기간 동안에 볼 수 있는 제주에서 가장 제주적이고 경제 적이며 꼭 보아야될 곳으로 추려서 올릴테니 참고 하세요..공항에서 서쪽으로-하귀[구엄]해안도로드라이브-제주돌마을공원[제주속에 제주.vj특공대 방영]-신창리해안도로[풍차]-수월봉[차가 정상 까지 올라감]-송악산 전망대[대장금 촬영지.걸어서 10분 정도면 정상]-용머리해안-산방산 앞으로 경유-중문단지내 주상절리-서귀포 외돌괴-천지연폭포.새연교-쇠소각-동쪽으로-섭지코지-일출봉-비자림-만장굴-제주시 도깨비도로체험-한라수목원-용연구름다리-용두암​     
영어 연극 대본 번역 부탁해요 오늘까지 빨리 해야 되요ㅠㅠ,"동: 얘 왜 이렇게 안오는거야? why isn't she/he coming?이: 미안해. 차가 많이 막혀서 Sorry, traffic jam.동: 아 그래. 오늘 기말고사도 끝났는데 뭐 먹으러 가자 Oh. I see. Let's go eat. We just finished the final exams!이: 요 앞에 레스토랑 새로 오픈했는데 가보자. let's go to the restaurant which just opened.동: 과연 맛있을까? are foods going to be good?이: 그건 나도 모르지. 겉모양은 좋아보이잖아 well I don't know. but I like the out-terior.동: 알았어. 가자. 오늘은 내가 쏜다. Alright! let's go then. I will ring the bell today!이: 고마워 Thanks!(레스토랑 들어간다) (getting into restaurant.)동: 아 여기 분위기 참 좋다I really like the mood here. 이: 거봐. 새로 오픈한데라서 그렇잖어. 우리 뭐 시킬까? see. they just opened! well, what should we order?동: 메뉴판 좀 보자. let's see the menu.이: 응. 여기 메뉴판 있다 yeah. here is the menu(메뉴판을 뒤적거리면서)(looking at the menu) 동: 립래츠 먹자 let's eat 립래츠.<--몬가요??-_-재:그게 뭔데? what's that?동: 어린 돼지 갈비살이야. 쫄깃하고 단맛이나 oh, it's ribs from little pig. very tender and have sweet taste.재: 아~~징그러워. 나 그거 싫어. 그냥 치킨 먹자 oh,, yuk! that's gross. I don't like that. just order chicken.동: 난 치킨 싫은데. 많이 먹어봤어. 너무 느끼해 I don't like chicken. I ate them a lot. too greassy.재: 그럼 뭐 먹지? then what should we eat?동: 우리 그냥 뉴요커살 스테이크 먹자 well, just eat New York steak.재: 그러자 sure.동: 아 맞다. 에피타이저는 뭐 먹지? oh, what should we order for appetizer?재: 크림스프 먹자 how about cream soup?동: 그럼 샐러드는? well,, salad?재: 그린 샐러드 green salad.동: 음료수는 콜라 먹자 let's have coke for drink.재: 안돼! 나 살 빼야되. 다이어트 콜라 먹자 no, I have to lose weight. let's get diet coke.동: 디저트는? how about dessert?재: 아이스크림 먹자. 나는 화장실 좀 갔다올게. let's have ice cream for dessert. i have to go to the washroom.동: 그래 빨리와 okay. be quick.(화장실로 간다) (going to the bathroom)동: 웨이터~~ waiter~웨이터: 예 손님, 필요한거 있으세요? yes, sir. are you ready to order?동: 뉴욕 스테이크 2개 주세요 Yes, I would like to order two new york steaks.웨이터: 어느정도로 익혀드릴까요? How would you like your steak to be?동:well done well done please.웨이터: 에피타이저는요? anything for appetizer?동: 크림스프로 주세요. 샐러드는 그린 샐러드로요 Cream soup, and green salad please.웨이터: 저희는 치킨샐러드가 맜있어서 추천해드리고 싶네요. I recommand the great chicken salad instead of the plain salad.동: 고맙지만 치킨이 싫어서요. 음료수는 다이어트 콜라로 주세요 Thanks but I don't like chicken. Diet coke for drinks too.웨이터: 디저터는요? How about dessert?동: 아이스크림 주세요Ice cream please. 웨이터: 감사합니다thank you. (다시 들어왔다)(coming from the washroom) 동: 너 요즘에 재미있는 일 있었어? Don't you have any funny stories?이: 어~나 여친이랑 어디좀 갔다왔어Oh, yeah. I went to somewhere with my girlfriend .동: 어디? where?이: 제주도에 여행좀 갔다왔다. to JeJu Island.동：언제 갔는데? when did you guys go?이: 2주전에 갔다왔었어 two weeks ago.동: 거기 날씨 어땠는데? how was the weather there?이: 거기 정말 따뜻했어. 서울은 쌀쌀했다며? It was really warm. i heard that Seoul was cold.동: 나 감기 걸렸잖어. 너무 추웠어. 거기서 보거나 할만한거 있었어? Yeah. I even cought a cold. It was really cold. So what did you two do?이: 그곳에 볼거리 정말 많았어. 특히 한라산 정말 높더라. 꼭대기에는 거대한 호수가 있었어. 아름다운꽃들도 정말 많았지. 제주 조랑말도 있었어. 여친이랑 정말 재미있게 놀았어. Well, There was a lot of things to see you know. especially Han La mountain, It was really high. It has great pond on top of the mountain. Beautiful flowers too. Also jeju llamas too. I really had fun with my girlfriend.동: 뭐 살거 있었어? Didn't you buy anything?이: 이번에 한라봉 5세트 샀지. 오렌지와 비슷하게 생겼는데 더 달고 맛있었어. well I bought 5 sets of Han La Oranges. It looks like the ordinary oranges but taste better.동: 딴거 할건 없어? any other things to say?이: 아~맞다. 말을 보는 것 뿐만 아니라 타볼수도 있어. 정말 스릴 있더라 Oh yea. We actually ride llamas.동: 아~정말 부럽다. Wow, I envy you!내가 여자친구랑 갈만한곳 dkffuwnfRK? Should I tell you few good places to go with your girlfriend?이: 아~알려줘.yes please. 동: 너 월미도라고 들어봤어? 추천해 주고 싶다 Have you ever heard of Wall Mi Island? I recommand there.이: 아니. 거기가 어디인데? I haven't heard of it. where is it?동: 인천에 속해있는 섬이야. It's an Island in Inchon.이: 거기 어떻게 가면되?Do you know how to get there? 동: 월미도는 특별히 차로 들어갈수 있는 섬이야. 인천역에서 5분정도 차타도 가면되. Well, you can take your car with you. They allow cars in that Island. It's only 5minutes away from Inchon station.이: 거기 뭐 볼거있냐? is there something to see?동: 월미도는 아름다운 햇살을 즐길수 있어. 많은 레스토랑과 볼거리가 있지. You can enjoy the sun shines. also there's a lot of good restaurants.그래서 거긴 데이트코스로 좋아. 특히 애견카페가 정말 좋더라. 개와 놀면서 차를 마실수 있거든. 단 니가 개를 좋아한다면 so it's really goo place to take your girlfriend with you. they also have pet cafe which you could enjoy tea as you play with dogs. But if you like dogs.이: 난 개 좋아해. 거기 특별히 맛있게 먹을덴 있어? Yea i like dogs. Is there any special place to eat?동: 어 거기 횟집도 무지 많아. 저렴하게 회를 먹을수 있지. Oh they have sashimi restaurants. You can eat sashimi with little cost of money.이: 우와 환상적인데. 근데 또다른 놀거리는 없어? Wow, that's great. any other things?동: 거긴 많은 놀이기구가 있어. 예를 들어 롤러코스터, 자이로드롭, 바이킹 특히 바이킹이란 놀이기구는 정말 무섭더라. 롤러코스터는 정말 어지러웠어. Yeah they have amusement park too. For example, roller coasters, Gyro Drop and Viking. Viking is really scary, and roller coaster was really dizzy.이: 꼭 가봐야 되겠다. 월미도 정말 멋진 곳이네~~~ I should go there! that is really good place.동: 아직도 안나오네. 왜 이렇게 늦는거야. Well, the foods are not coming. what takes so long?이: 벌써 30분이나 지났어.. yeah,, it already past thirty minutes.동: 여기 서비스 정말 안좋은거 같다 the service here really sucks.이: 맞어. 종업원도 불친절해 보였어. 음식도 늦게 나오고. yeah. the wait staffs were that great. and especially food delays.동: 그냥 여기 나가자 let's just get out of here.이: 그래. 여기보다 더 맛좋고 서비스 좋은 곳으로 가자. sure. let's go to the place that's better than here.웨이터: 손님, 무슨일이세요? What's wrong? where are you going?동: 음식을 시킨지가 언젠데 아직도 안나와요? We ordered the food 30 minutes ago, and still yet to come.웨이터: 어떤거 시키셨죠? what did you order?동:30분전에 뉴요커 스테이크 2개 시켰었어요 two new york steaks.웨이터: 죄송합니다. 주문에 실수가 있었네요. 어떻게 해드릴까요? Sorry, I think there was a mistake taking in the order. What should we do?동: 환불해 주세요 just refund.웨이터: 예, 알겠습니다 alright.."
새끼 강아지 비행기 동반탑승 및 목욕시기,"         안녕하세요. 천만 반려인과 함께하는 애견 동반 여행 플랫폼 하트독 입니다.​목욕은 3개월 이후에 시작하는것이 좋습니다.​제주 여행을 계획중이시군요.소형 반려견의 경우에는 기내에 탑승이 가능하고,몸무게가 7kg 이상인 경우에는 화물칸에 태워야 합니다.다만, 항공사와 비행기 종류에 따라서 그 수가 제한이 되므로,가장 먼저 항공사에 전화하셔서 예약을 하시는 것이 중요합니다.​국내행 비행기에 대한 애견동반 탑승을 정리한 포스팅입니다.https://www.facebook.com/HatdogTrip/posts/3947184861981558​반려견과 함께 즐거운 여행 되세요.​답변이 도움이 되셨다면 채택도 부탁드립니다.​                    ​     "
제주 한달살기 숙소,"         제주도 한달살기 숙소 비용 정보 참고하시기 바랍니다.              제주도 한달살기 숙소 임대료 확인하기 제주도 한달살기 숙소 임대료 해외 여행이 어려운 요즘 국내 여행에 많은 분들이 관심을 갖고 있으실 것입니다. 그 중 특히 제주도는 힐링 여행으로써 안성맞춤입니다. 제주도 항공권, 렌트카 등 알아봐야할 것이.. info-monster.tistory.com            ​     "
